ID,BPMF_Input,Correct_Chinese,Context_State,Source,Timestamp,Readable_Time
28,ㄝ,ㄝ,ˋ,user_normal_typing,1780414778.2993002,2026-06-02 23:39:38
29,ㄉㄧㄦ,ㄉㄧˋㄦˋ,ㄝ,user_normal_typing,1780414780.7229488,2026-06-02 23:39:40
30,ㄅㄣㄉㄧㄉㄨㄢㄗㄌㄧㄠㄇㄧㄥㄇㄧㄇㄧㄥ,ㄅㄣˇㄉㄧˋㄉㄨㄢㄗㄌㄧㄠˋㄇㄧㄥˊㄇㄧㄇㄧㄥˊ,ˋ,user_normal_typing,1780414791.5589266,2026-06-02 23:39:51
31,ㄧㄡ,ㄧㄡˇ,ˊ,user_normal_typing,1780414792.2585473,2026-06-02 23:39:52
32,ㄋㄥ,ㄋㄥˊ,ˇ,user_normal_typing,1780414793.5086114,2026-06-02 23:39:53
33,ㄆㄟㄉㄨㄟ,ㄆㄟˋㄉㄨㄟˋ,ˊ,user_normal_typing,1780414794.6086335,2026-06-02 23:39:54
34,ㄉㄜ,ㄉㄜ˙,ˋ,user_normal_typing,1780414795.4017313,2026-06-02 23:39:55
35,ㄉㄢㄘ,ㄉㄢㄘˊ,˙,user_normal_typing,1780414798.0806944,2026-06-02 23:39:58
36,ㄝ,ㄝ,ˊ,user_normal_typing,1780414798.8960922,2026-06-02 23:39:58
37,ㄑㄩㄝㄇㄟㄧㄡ,ㄑㄩㄝˋㄇㄟˊㄧㄡˇ,ㄝ,user_normal_typing,1780414801.1647112,2026-06-02 23:40:01
38,ㄐㄧㄣㄒㄧㄥ,ㄐㄧˋㄣㄒㄧㄥˊ,ˇ,user_normal_typing,1780414802.2966275,2026-06-02 23:40:02
39,ㄐㄧㄣㄒㄧㄥ,ㄐㄧㄣˋㄒㄧㄥˊ,ˊ,user_normal_typing,1780414804.3644931,2026-06-02 23:40:04
40,ㄆㄟㄉㄨㄟ,ㄆㄟˋㄉㄨㄟˋ,ˊ,user_normal_typing,1780414807.1871665,2026-06-02 23:40:07
41,ㄙㄛㄙㄛㄝ,ㄙㄛㄙㄛㄝ,試,user_normal_typing,1780415186.5235357,2026-06-02 23:46:26
42,ㄝ,ㄝ,ㄝ,user_normal_typing,1780415187.9078224,2026-06-02 23:46:27
43,ㄐㄧㄒㄧㄥㄘㄜㄕㄝ,ㄐㄧˋㄒㄧㄥˊㄘㄜˋㄕˋㄝ,ㄝ,user_normal_typing,1780415197.4352343,2026-06-02 23:46:37
44,ㄐㄧㄒㄧㄥ,ㄐㄧˋㄒㄧㄥˊ,ㄝ,user_normal_typing,1780415225.1641088,2026-06-02 23:47:05
45,ㄇㄧㄥㄇㄧㄥㄧㄧㄤㄉㄜㄕㄨㄖㄨㄕㄨㄖㄨ,ㄇㄧㄥˊㄇㄧㄥˊㄧˊㄧㄤˋㄉㄜ˙ㄕㄨㄖㄨㄕㄨㄖㄨˋ,ˊ,user_normal_typing,1780415267.1307611,2026-06-02 23:47:47
46,ㄏㄡㄇㄧㄢ,ㄏㄡˋㄇㄧㄢˋ,ˋ,user_normal_typing,1780415268.4600277,2026-06-02 23:47:48
47,ㄐㄧㄡㄆㄧㄆㄟㄅㄨㄉㄠ,ㄐㄧㄡˋㄆㄧˇㄆㄟˋㄅㄨˊㄉㄠˋ,ˋ,user_normal_typing,1780415271.7083185,2026-06-02 23:47:51
48,ㄗㄌㄧㄠㄌㄜ,ㄗㄌㄧㄠˋㄌㄜ˙,ˋ,user_normal_typing,1780415273.5556958,2026-06-02 23:47:53
49,ㄒ,ㄒ,˙,user_normal_typing,1780415275.7981875,2026-06-02 23:47:55
